The PCB,$100-$170,,,,,,,
VTX,$109,,,,,,,
RX,$12,,,,,,,
Motors,$52,,,,,,,
Total,$273 -343,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
PCB,,,,,,,,
Quantity,Comment,Designator,Footprint,Value,Manufacturer Part,Manufacturer,Supplier Part,Supplier
2,2.2uF,"C1,C41",C0603,,CL10A225KO8NNNC,SAMSUNG,C23630,LCSC
10,100nF,"C3,C4,C5,C6,C7,C8,C12,C33,C34,C38",C0402,,CL05B104KO5NNNC,SAMSUNG,C1525,LCSC
2,2.2uF,"C13,C14",C0402,,CL05A225MA5NUNC,SAMSUNG,C159814,LCSC
1,CLK,C15,TEST PAD,,,,,
2,1uF,"C24,C40",C0402,,CL05A105KA5NQNC,SAMSUNG,C52923,LCSC
2,47uF,"C37,C39",C0805,,CL21A476MQYNNNE,SAMSUNG,C16780,LCSC
2,22uF,"C44,C45",C0402,22uF,GRM158R61A226ME15D,muRata(村田),C3845593,LCSC
1,SM04B-SRSS-TB(LF)(SN),CN1,CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,,SM04B-SRSS-TB(LF)(SN),JST,C160404,LCSC
1,DAT,D1,TEST PAD,,,,,
2,"PMEG4030ER,115","D4,D5",SOD-123_L2.6-W1.7-LS3.5-RD,,"PMEG4030ER,115",Nexperia(安世),C389355,LCSC
1,2.2uH,L1,IND-SMD_L7.1-W6.5-P5.60,2.2uH,SPM6530T-2R2M,TDK,C76855,LCSC
4,16-213/GHC-YR1S1/3T,"LED2,LED4,LED9,LED10",LED0402-R-RD,,16-213/GHC-YR1S1/3T,EVERLIGHT,C74338,LCSC
1,SM08B-SRSS-TB(LF)(SN),P1,CONN-TH_SM08B-SRSS-TB-LF-SN,,SM08B-SRSS-TB(LF)(SN),JST,C160407,LCSC
3,10K,"R3,R8,R9",R0402,,0402WGF1002TCE,UniOhm,C25744,LCSC
5,1K,"R4,R6,R7,R31,R32",R0402,,0402WGF1001TCE,UniOhm,C11702,LCSC
2,22,"R22,R23",R0402,,0402WGF220JTCE,UniOhm,C25092,LCSC
1,10kΩ,R24,R0805,10kΩ,RC0805FR-0710KL,YAGEO(国巨),C84376,LCSC
2,100kΩ,"R26,R28",R0402,100kΩ,RC0402FR-07100KL,YAGEO(国巨),C60491,LCSC
1,523kΩ,R29,R0402,523kΩ,CRCW0402523KFKED,VISHAY(威世),C2076639,LCSC
2,5.1kΩ,"R33,R34",R0402,5.1kΩ,RC0402FR-075K1L,YAGEO(国巨),C105872,LCSC
1,SKRPACE010,SW1,KEY-SMD_4P-L4.2-W3.2-P2.20-LS4.6,,SKRPACE010,ALPSALPINE(阿尔卑斯阿尔派),C139797,LCSC
1,STM32F405RGT6,U2,LQFP-64_L10.0-W10.0-P0.50-LS12.0-BL,,STM32F405RGT6,ST,C15742,LCSC
1,ICM-42688-P,U12,LGA-14_L3.0-W2.5-P0.50-TL,,ICM-42688-P,TDK InvenSense(应美盛),C1850418,LCSC
1,S25FL256SAGNFI000,U13,WSON-8_L8.0-W6.0-P1.27-BL-EP,,S25FL256SAGNFI000,CYPRESS(赛普拉斯),C914933,LCSC
1,TPS63070RNMR,U14,VQFN-HR-15_L3.0-W2.5-P0.50-BL_TPS63070RNMR,,TPS63070RNMR,TI(德州仪器),C109322,LCSC
2,TP74333PDQNR,"U15,U16",XDFN-4_L1.0-W1.0-P0.65-BL-EP,,TP74333PDQNR,TECH PUBLIC(台舟),C2923398,LCSC
1,SM06B-SRSS-TB(LF)(SN),U19,CONN-SMD_SM06B-SRSS-TB-LF-SN,,SM06B-SRSS-TB(LF)(SN),JST,C160405,LCSC
1,TYPE-C-31-M-12,USBC2,USB-C_SMD-TYPE-C-31-M-12,,TYPE-C-31-M-12,韩国韩荣,C165948,LCSC
1,8MHz,X3,OSC-SMD_3P-L3.2-W1.3-P1.20,8MHz,CSTNE8M00G520000R0,muRata(村田),C907975,LCSC